Product_Name,Price_Cleaned,Rating_Numeric,Product_Name_Upper,Product_Name_Lower,Product_ID
A Light in the Attic,51.77,3,A LIGHT IN THE ATTIC,a light in the attic,PROD1000
Tipping the Velvet,53.74,1,TIPPING THE VELVET,tipping the velvet,PROD1001
Soumission,50.1,1,SOUMISSION,soumission,PROD1002
Sharp Objects,47.82,4,SHARP OBJECTS,sharp objects,PROD1003
Sapiens: A Brief History of Humankind,54.23,5,SAPIENS: A BRIEF HISTORY OF HUMANKIND,sapiens: a brief history of humankind,PROD1004
The Requiem Red,22.65,1,THE REQUIEM RED,the requiem red,PROD1005
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,THE DIRTY LITTLE SECRETS OF GETTING YOUR DREAM JOB,the dirty little secrets of getting your dream job,PROD1006
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,"THE COMING WOMAN: A NOVEL BASED ON THE LIFE OF THE INFAMOUS FEMINIST, VICTORIA WOODHULL","the coming woman: a novel based on the life of the infamous feminist, victoria woodhull",PROD1007
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,THE BOYS IN THE BOAT: NINE AMERICANS AND THEIR EPIC QUEST FOR GOLD AT THE 1936 BERLIN OLYMPICS,the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,PROD1008
The Black Maria,52.15,1,THE BLACK MARIA,the black maria,PROD1009
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,"STARVING HEARTS (TRIANGULAR TRADE TRILOGY, #1)","starving hearts (triangular trade trilogy, #1)",PROD1010
Shakespeare's Sonnets,20.66,4,SHAKESPEARE'S SONNETS,shakespeare's sonnets,PROD1011
Set Me Free,17.46,5,SET ME FREE,set me free,PROD1012
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,SCOTT PILGRIM'S PRECIOUS LITTLE LIFE (SCOTT PILGRIM #1),scott pilgrim's precious little life (scott pilgrim #1),PROD1013
Rip it Up and Start Again,35.02,5,RIP IT UP AND START AGAIN,rip it up and start again,PROD1014
