OrderID,CustomerID,Product_ID,Quantity
ORD50000,CUST100,PROD1891,2
ORD50001,CUST101,PROD1444,1
ORD50002,CUST102,PROD1580,2
ORD50003,CUST103,PROD1190,3
ORD50004,CUST104,PROD1242,1
ORD50005,CUST105,PROD1676,2
ORD50006,CUST106,PROD1407,1
ORD50007,CUST107,PROD1864,3
ORD50008,CUST108,PROD1387,2
ORD50009,CUST109,PROD1099,1
ORD50010,CUST110,PROD1265,2
ORD50011,CUST111,PROD1021,3
ORD50012,CUST112,PROD1813,2
ORD50013,CUST113,PROD1169,1
ORD50014,CUST114,PROD1336,2
ORD50015,CUST115,PROD1042,2
ORD50016,CUST116,PROD1379,1
ORD50017,CUST117,PROD1807,2
ORD50018,CUST118,PROD1210,3
ORD50019,CUST119,PROD1485,1
ORD50020,CUST120,PROD1635,1
ORD50021,CUST121,PROD1801,2
ORD50022,CUST122,PROD1917,1
ORD50023,CUST123,PROD1186,1
ORD50024,CUST124,PROD1837,3
ORD50025,CUST125,PROD1534,1
ORD50026,CUST126,PROD1460,2
ORD50027,CUST127,PROD1258,2
ORD50028,CUST128,PROD1990,2
ORD50029,CUST129,PROD1182,1
ORD50030,CUST130,PROD1852,1
ORD50031,CUST131,PROD1322,2
ORD50032,CUST132,PROD1116,2
ORD50033,CUST133,PROD1523,3
ORD50034,CUST134,PROD1593,2
ORD50035,CUST135,PROD1700,1
ORD50036,CUST136,PROD1125,3
ORD50037,CUST137,PROD1783,2
ORD50038,CUST138,PROD1897,3
ORD50039,CUST139,PROD1294,2
ORD50040,CUST140,PROD1183,2
ORD50041,CUST141,PROD1957,3
ORD50042,CUST142,PROD1484,2
ORD50043,CUST143,PROD1201,3
ORD50044,CUST144,PROD1487,2
ORD50045,CUST145,PROD1607,2
ORD50046,CUST146,PROD1091,3
ORD50047,CUST147,PROD1670,3
ORD50048,CUST148,PROD1612,3
ORD50049,CUST149,PROD1582,3
ORD50050,CUST100,PROD1936,2
ORD50051,CUST101,PROD1828,3
ORD50052,CUST102,PROD1306,3
ORD50053,CUST103,PROD1249,2
ORD50054,CUST104,PROD1208,2
ORD50055,CUST105,PROD1954,2
ORD50056,CUST106,PROD1621,2
ORD50057,CUST107,PROD1376,1
ORD50058,CUST108,PROD1100,3
ORD50059,CUST109,PROD1163,2
ORD50060,CUST110,PROD1345,1
ORD50061,CUST111,PROD1736,2
ORD50062,CUST112,PROD1103,2
ORD50063,CUST113,PROD1690,3
ORD50064,CUST114,PROD1532,3
ORD50065,CUST115,PROD1756,1
ORD50066,CUST116,PROD1807,3
ORD50067,CUST117,PROD1320,1
ORD50068,CUST118,PROD1125,2
ORD50069,CUST119,PROD1040,1
ORD50070,CUST120,PROD1231,1
ORD50071,CUST121,PROD1772,1
ORD50072,CUST122,PROD1608,3
ORD50073,CUST123,PROD1530,1
